[2023-08-08 15:33:40] Ora2Pg version: 24.0
[2023-08-08 15:33:40] Export type: SHOW_TABLE
[2023-08-08 15:33:40] Geometry export type: INTERNAL
[2023-08-08 15:33:40] ORACLE_HOME = /opt/instant_client_12_2
[2023-08-08 15:33:40] NLS_LANG = AMERICAN_AMERICA.AL32UTF8
[2023-08-08 15:33:40] NLS_NCHAR = AL32UTF8
[2023-08-08 15:33:40] Trying to connect to database: dbi:Oracle:host=172.17.0.5;sid=xe;port=1521
[2023-08-08 15:33:41] Isolation level: SET TRANSACTION ISOLATION LEVEL SERIALIZABLE
[2023-08-08 15:33:41] Showing table information...
[2023-08-08 15:33:42] Collecting 201 tables in DBA_OBJECTS took:  1 wallclock secs ( 0.01 usr +  0.00 sys =  0.01 CPU)
[2023-08-08 15:33:43] Collecting 199 tables information in DBA_TABLES took:  1 wallclock secs ( 0.01 usr +  0.01 sys =  0.02 CPU)
[2023-08-08 15:33:43] Retrieving column identity information...
[2023-08-08 15:33:43] Looking to subpartition information...
[2023-08-08 15:33:44] Looking to partitioned tables information...
[2023-08-08 15:33:46] Looking to external tables information...
[2023-08-08 15:33:46] [182] TABLE JUROR.VOTERS755 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [183] TABLE JUROR.VOTERS756 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [184] TABLE JUROR.VOTERS758 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [185] TABLE JUROR.VOTERS761 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [186] TABLE JUROR.VOTERS762 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [187] TABLE JUROR.VOTERS765 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [188] TABLE JUROR.VOTERS767 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [189] TABLE JUROR.VOTERS768 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [190] TABLE JUROR.VOTERS769 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [191] TABLE JUROR.VOTERS772 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [192] TABLE JUROR.VOTERS774 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [193] TABLE JUROR.VOTERS794 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [194] TABLE JUROR.VOTERS795 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [195] TABLE JUROR.VOTERS796 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [196] TABLE JUROR.VOTERS797 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [197] TABLE JUROR.VOTERS798 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [198] TABLE JUROR.VOTERS799 (owner: JUROR, 999 rows)
[2023-08-08 15:33:46] [199] TABLE JUROR.WELSH_LOCATION (owner: JUROR, 10 rows)
[2023-08-08 15:33:46] ----------------------------------------------------------
[2023-08-08 15:33:46] Total number of rows: 132405

[2023-08-08 15:33:47] Global Temporary Tables:
[2023-08-08 15:33:47] 	TEMP_AUTO_GENERATE_LETT
[2023-08-08 15:33:47] 

[2023-08-08 15:33:47] Top 10 of tables sorted by number of rows:
[2023-08-08 15:33:47] 	[1] TABLE JUROR.PL_XML_STATUS has 19110 rows
[2023-08-08 15:33:47] 	[2] TABLE JUROR.SECURITY_LEVEL has 7414 rows
[2023-08-08 15:33:47] 	[3] TABLE JUROR.VOTERS474 has 999 rows
[2023-08-08 15:33:47] 	[4] TABLE JUROR.VOTERS471 has 999 rows
[2023-08-08 15:33:47] 	[5] TABLE JUROR.VOTERS408 has 999 rows
[2023-08-08 15:33:47] 	[6] TABLE JUROR.VOTERS432 has 999 rows
[2023-08-08 15:33:47] 	[7] TABLE JUROR.VOTERS406 has 999 rows
[2023-08-08 15:33:47] 	[8] TABLE JUROR.VOTERS417 has 999 rows
[2023-08-08 15:33:47] 	[9] TABLE JUROR.VOTERS427 has 999 rows
[2023-08-08 15:33:47] 	[10] TABLE JUROR.VOTERS127 has 999 rows
[2023-08-08 15:33:47] Top 10 of largest tables:
[2023-08-08 15:33:48] 	[1] TABLE JUROR.PRINT_FILES: 10 MB (900 rows)
[2023-08-08 15:33:48] 	[2] TABLE JUROR.PL_XML_STATUS: 3 MB (19110 rows)
[2023-08-08 15:33:48] 	[3] TABLE JUROR.SECURITY_LEVEL: 1 MB (7414 rows)
[2023-08-08 15:33:48] 	[4] TABLE JUROR.VOTERS402: 0 MB (999 rows)
[2023-08-08 15:33:48] 	[5] TABLE JUROR.VOTERS401: 0 MB (999 rows)
[2023-08-08 15:33:48] 	[6] TABLE JUROR.VOTERS404: 0 MB (999 rows)
[2023-08-08 15:33:48] 	[7] TABLE JUROR.VOTERS403: 0 MB (999 rows)
[2023-08-08 15:33:48] 	[8] TABLE JUROR.POOL: 0 MB (909 rows)
[2023-08-08 15:33:48] 	[9] TABLE JUROR.VOTERS406: 0 MB (999 rows)
[2023-08-08 15:33:48] 	[10] TABLE JUROR.VOTERS127: 0 MB (999 rows)
